Season,Team,Avg Powerplay Runs,Avg Death Overs Runs,Total Runs,Overs Played,Avg Runs Per Over,Win % After Winning Toss,Win % After Losing Toss,Win % When Batting First,Win % When Fielding First,Total 4s,Total 6s,Highest Score,Lowest Score,Matches Played,Wins,Winning Percentage
2013,Chennai Super Kings,48.11111111,43.5,2778,339.1666667,8.190663391,87.5,50,58.33333333,83.33333333,241,84,223,79,18,12,66.66666667
2013,Delhi Capitals,46.8125,31.125,2245,312.5,7.184,0,18.75,25,12.5,211,52,179,80,16,3,18.75
2013,Kolkata Knight Riders,50.6875,32.5,2290,311,7.363344051,33.33333333,50,33.33333333,42.85714286,222,57,186,105,16,6,37.5
2013,Mumbai Indians,47.89473684,40.78947368,2975,374.1666667,7.951002227,66.66666667,71.42857143,80,55.55555556,253,117,209,92,19,13,68.42105263
2013,Punjab Kings,50,32.53333333,2428,304,7.986842105,0,50,66.66666667,46.15384615,244,65,194,100,16,8,50
2013,Rajasthan Royals,47.27777778,32.61111111,2705,349.8333333,7.732253454,54.54545455,71.42857143,75,50,267,70,185,113,18,11,61.11111111
2013,Royal Challengers Bengaluru,52.1875,40.66666667,2601,303,8.584158416,0,56.25,33.33333333,70,230,106,263,115,16,9,56.25
2013,Sunrisers Hyderabad,44.76470588,34.6875,2318,329.8333333,7.027791814,14.28571429,90,100,22.22222222,196,54,178,81,17,10,58.82352941
2014,Chennai Super Kings,57.8125,35.8125,2650,310.6666667,8.530042918,60,66.66666667,66.66666667,50,205,112,205,138,16,10,62.5
2014,Delhi Capitals,49.42857143,38.23076923,2081,272.3333333,7.641370869,0,14.28571429,16.66666667,12.5,177,63,180,84,14,2,14.28571429
2014,Kolkata Knight Riders,52.5,32.53333333,2499,302.8333333,8.252063841,66.66666667,71.42857143,50,80,223,77,200,109,16,11,68.75
2014,Mumbai Indians,52.53333333,33.28571429,2353,291,8.085910653,50,44.44444444,33.33333333,55.55555556,197,86,195,115,15,7,46.66666667
2014,Punjab Kings,58.82352941,38.5625,2987,328.5,9.092846271,0,70.58823529,85.71428571,60,262,127,231,119,17,12,70.58823529
2014,Rajasthan Royals,50.14285714,40.61538462,2166,270.5,8.007393715,50,50,40,55.55555556,167,86,201,71,14,7,50
